sample,modality,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,aligned_time,time,condition,batch,is_interpolated
0,metabolomics,0.12277393,-0.25929773,0.4231123,0.13767262,0.06041078,-0.27307445,0.13940403,-0.07923045,0.12118765,-0.29899234,0.043333936,0.3713412,0.1644808,0.26556313,0.03616461,-0.07042836,0.0,0.0,high_fat_diet,run_01,False
1,metabolomics,0.2956808,-0.478625,0.45926142,-0.56979257,0.07527654,0.35722998,-0.49641386,-0.052555025,-0.36034852,-0.23333168,-0.23024356,-0.14802988,0.18033502,0.009658707,0.025741633,-0.08624719,4.0,4.0,high_fat_diet,run_01,False
2,metabolomics,0.16596596,-0.08236198,0.44687185,0.094351396,-0.16077155,0.41286713,0.2199256,0.16644554,-0.34581304,-0.13461062,0.10846324,-0.12090542,-0.0484438,-0.22471908,0.09691709,-0.20226021,12.0,12.0,high_fat_diet,run_01,False
3,metabolomics,-0.17315415,-0.15127829,-0.08604288,-0.024597993,0.019984506,-0.014079332,0.34451166,0.13362737,-0.21499285,0.020912854,-0.004512769,-0.03152395,-0.14743002,-0.36628592,0.46710858,-0.052878134,48.0,48.0,high_fat_diet,run_01,False
4,metabolomics,0.12277393,-0.25929773,0.4231123,0.13767262,0.06041078,-0.27307445,0.13940403,-0.07923045,0.12118765,-0.29899234,0.043333936,0.3713412,0.1644808,0.26556313,0.03616461,-0.07042836,0.0,0.0,high_fat_diet,run_01,False
5,metabolomics,0.2956808,-0.478625,0.45926142,-0.56979257,0.07527654,0.35722998,-0.49641386,-0.052555025,-0.36034852,-0.23333168,-0.23024356,-0.14802988,0.18033502,0.009658707,0.025741633,-0.08624719,4.0,4.0,high_fat_diet,run_01,False
6,metabolomics,0.16596596,-0.08236198,0.44687185,0.094351396,-0.16077155,0.41286713,0.2199256,0.16644554,-0.34581304,-0.13461062,0.10846324,-0.12090542,-0.0484438,-0.22471908,0.09691709,-0.20226021,12.0,12.0,high_fat_diet,run_01,False
7,metabolomics,-0.17315415,-0.15127829,-0.08604288,-0.024597993,0.019984506,-0.014079332,0.34451166,0.13362737,-0.21499285,0.020912854,-0.004512769,-0.03152395,-0.14743002,-0.36628592,0.46710858,-0.052878134,48.0,48.0,high_fat_diet,run_01,False
8,metabolomics,0.12277393,-0.25929773,0.4231123,0.13767262,0.06041078,-0.27307445,0.13940403,-0.07923045,0.12118765,-0.29899234,0.043333936,0.3713412,0.1644808,0.26556313,0.03616461,-0.07042836,0.0,0.0,high_fat_diet,run_01,False
9,metabolomics,0.2956808,-0.478625,0.45926142,-0.56979257,0.07527654,0.35722998,-0.49641386,-0.052555025,-0.36034852,-0.23333168,-0.23024356,-0.14802988,0.18033502,0.009658707,0.025741633,-0.08624719,4.0,4.0,high_fat_diet,run_01,False
10,metabolomics,0.16596596,-0.08236198,0.44687185,0.094351396,-0.16077155,0.41286713,0.2199256,0.16644554,-0.34581304,-0.13461062,0.10846324,-0.12090542,-0.0484438,-0.22471908,0.09691709,-0.20226021,12.0,12.0,high_fat_diet,run_01,False
11,metabolomics,-0.17315415,-0.15127829,-0.08604288,-0.024597993,0.019984506,-0.014079332,0.34451166,0.13362737,-0.21499285,0.020912854,-0.004512769,-0.03152395,-0.14743002,-0.36628592,0.46710858,-0.052878134,48.0,48.0,high_fat_diet,run_01,False
