sample,modality,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,aligned_time,time,condition,batch,is_interpolated
0,proteomics,0.12444151,-0.46969944,-0.15962633,0.0972022,-0.1688567,-0.09162579,-0.25375542,-0.24736547,0.05174616,-0.23693228,-0.055733986,-0.21239172,0.13900632,0.46880108,-0.061521668,0.1081009,0.0,0.0,cytokine_induction,panel_v1,False
1,proteomics,-0.41585904,-0.16927876,-0.18212552,-0.080479406,-0.10745079,0.16899851,-0.4196685,-0.3262929,0.14920911,0.258481,-0.1635114,0.08487398,-0.0692455,-0.3476408,0.21503752,-0.022322588,8.0,8.0,cytokine_induction,panel_v2,False
2,proteomics,-0.006841607,0.004455118,0.0038232708,-0.04851923,0.15774262,-0.12609886,-0.051798306,-0.25315765,-0.04477819,0.31243712,0.22008625,0.18915787,0.029241769,-0.1420929,0.068963505,0.050222207,24.0,24.0,cytokine_induction,panel_v1,False
3,proteomics,0.1510406,0.008019736,0.20585175,0.15139443,-0.0356898,-0.18520589,-0.10712371,0.018353138,-0.14251937,0.40629092,-0.0068999697,-0.034985714,0.052029453,0.21012387,0.32921463,0.05797659,72.0,72.0,cytokine_induction,panel_v1,False
4,proteomics,0.12444151,-0.46969944,-0.15962633,0.0972022,-0.1688567,-0.09162579,-0.25375542,-0.24736547,0.05174616,-0.23693228,-0.055733986,-0.21239172,0.13900632,0.46880108,-0.061521668,0.1081009,0.0,0.0,cytokine_induction,panel_v1,False
5,proteomics,-0.41585904,-0.16927876,-0.18212552,-0.080479406,-0.10745079,0.16899851,-0.4196685,-0.3262929,0.14920911,0.258481,-0.1635114,0.08487398,-0.0692455,-0.3476408,0.21503752,-0.022322588,8.0,8.0,cytokine_induction,panel_v2,False
6,proteomics,-0.006841607,0.004455118,0.0038232708,-0.04851923,0.15774262,-0.12609886,-0.051798306,-0.25315765,-0.04477819,0.31243712,0.22008625,0.18915787,0.029241769,-0.1420929,0.068963505,0.050222207,24.0,24.0,cytokine_induction,panel_v2,False
7,proteomics,0.1510406,0.008019736,0.20585175,0.15139443,-0.0356898,-0.18520589,-0.10712371,0.018353138,-0.14251937,0.40629092,-0.0068999697,-0.034985714,0.052029453,0.21012387,0.32921463,0.05797659,72.0,72.0,cytokine_induction,panel_v1,False
8,proteomics,0.12444151,-0.46969944,-0.15962633,0.0972022,-0.1688567,-0.09162579,-0.25375542,-0.24736547,0.05174616,-0.23693228,-0.055733986,-0.21239172,0.13900632,0.46880108,-0.061521668,0.1081009,0.0,0.0,cytokine_induction,panel_v2,False
9,proteomics,-0.41585904,-0.16927876,-0.18212552,-0.080479406,-0.10745079,0.16899851,-0.4196685,-0.3262929,0.14920911,0.258481,-0.1635114,0.08487398,-0.0692455,-0.3476408,0.21503752,-0.022322588,8.0,8.0,cytokine_induction,panel_v2,False
